Year,Control,Ethnicity,EnrollmentP,EnrollmentT
1976,Senior,White,55.7,91846
1976,Senior,Black,25.2,91846
1976,Senior,Hispanic,13.0,91846
1976,Senior,American Indian,1.0,91846
1976,Senior,Oriental,5.1,91846
1976,Senior,Other,0,91846
1977,Senior,White,59.0,87703
1977,Senior,Black,22.6,87703
1977,Senior,Hispanic,12.5,87703
1977,Senior,American Indian,1.1,87703
1977,Senior,Oriental,4.8,87703
1977,Senior,Other,0,87703
1976,Community,White,44.0,61837
1976,Community,Black,33.5,61837
1976,Community,Hispanic,17.9,61837
1976,Community,American Indian,1.7,61837
1976,Community,Oriental,2.9,61837
1976,Community,Other,0,61837
1977,Community,White,42.9,67451
1977,Community,Black,35.5,67451
1977,Community,Hispanic,17.7,67451
1977,Community,American Indian,0.9,67451
1977,Community,Oriental,3.0,67451
1977,Community,Other,0,67451
